Treatment_specific,Treatment_general,Pot,Plant,Plant_N,Aphid_Number,Plant_weight,Garlic,Garlic_weight,Hst_div,Predtr
barley_mono_aphid,mono,1,barley,1,8,0.021,absent,0,barley alone,absent
barley_mono_aphid,mono,1,barley,2,55,0.033,absent,0,barley alone,absent
barley_mono_aphid,mono,1,barley,3,40,0.029,absent,0,barley alone,absent
barley_mono_aphid,mono,2,barley,4,15,0.012,absent,0,barley alone,absent
barley_mono_aphid,mono,2,barley,5,12,0.017,absent,0,barley alone,absent
barley_mono_aphid,mono,2,barley,6,17,0.04,absent,0,barley alone,absent
barley_mono_aphid,mono,3,barley,7,38,0.026,absent,0,barley alone,absent
barley_mono_aphid,mono,3,barley,8,24,0.046,absent,0,barley alone,absent
barley_mono_aphid,mono,3,barley,9,37,0.06,absent,0,barley alone,absent
barley_mono_aphid,mono,4,barley,10,1,0.024,absent,0,barley alone,absent
barley_mono_aphid,mono,4,barley,11,42,0.042,absent,0,barley alone,absent
barley_mono_aphid,mono,4,barley,12,16,0.03,absent,0,barley alone,absent
barley_mono_aphid,mono,5,barley,13,27,0.033,absent,0,barley alone,absent
barley_mono_aphid,mono,5,barley,14,19,0.029,absent,0,barley alone,absent
barley_mono_aphid,mono,5,barley,15,21,0.03,absent,0,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,6,barley,16,28,0.033,present,0.14,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,6,barley,17,48,0.042,present,0.14,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,6,barley,18,23,0.036,present,0.14,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,7,barley,19,6,0.004,present,0.336,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,7,barley,20,52,0.037,present,0.336,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,7,barley,21,25,0.037,present,0.336,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,8,barley,22,31,0.028,present,0.793,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,8,barley,23,14,0.034,present,0.793,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,8,barley,24,34,0.035,present,0.793,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,9,barley,25,11,0.051,present,0.872,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,9,barley,26,6,0.03,present,0.872,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,9,barley,27,7,0.035,present,0.872,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,10,barley,28,16,0.032,present,0.559,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,10,barley,29,2,0.027,present,0.559,barley alone,absent
barley_mono_aphid_garlic,mono_garlic,10,barley,30,6,0.012,present,0.559,barley alone,absent
poli__aphid,poli,11,barley,31,7,0.03,absent,0,barley intercropped,absent
poli__aphid,poli,11,wheat,32,35,0.033,absent,0,barley intercropped,absent
poli__aphid,poli,11,rye,33,13,0.029,absent,0,barley intercropped,absent
poli__aphid,poli,12,barley,34,46,0.039,absent,0,barley intercropped,absent
poli__aphid,poli,12,wheat,35,54,0.052,absent,0,barley intercropped,absent
poli__aphid,poli,12,rye,36,37,0.031,absent,0,barley intercropped,absent
poli__aphid,poli,13,barley,37,59,0.054,absent,0,barley intercropped,absent
poli__aphid,poli,13,wheat,38,5,0.036,absent,0,barley intercropped,absent
poli__aphid,poli,13,rye,39,25,0.023,absent,0,barley intercropped,absent
poli__aphid,poli,14,barley,40,12,0.037,absent,0,barley intercropped,absent
poli__aphid,poli,14,wheat,41,5,0.039,absent,0,barley intercropped,absent
poli__aphid,poli,14,rye,42,28,0.034,absent,0,barley intercropped,absent
poli__aphid,poli,15,barley,43,29,0.042,absent,0,barley intercropped,absent
poli__aphid,poli,15,wheat,44,9,0.052,absent,0,barley intercropped,absent
poli__aphid,poli,15,rye,45,33,0.032,absent,0,barley intercropped,absent
poli__aphid_garlic,poli_garlic,16,barley,46,5,0.028,present,0.46,barley intercropped,absent
poli__aphid_garlic,poli_garlic,16,wheat,47,32,0.032,present,0.46,barley intercropped,absent
poli__aphid_garlic,poli_garlic,16,rye,48,10,0.029,present,0.46,barley intercropped,absent
poli__aphid_garlic,poli_garlic,17,barley,49,43,0.037,present,0.141,barley intercropped,absent
poli__aphid_garlic,poli_garlic,17,wheat,50,45,0.049,present,0.141,barley intercropped,absent
poli__aphid_garlic,poli_garlic,17,rye,51,39,0.032,present,0.141,barley intercropped,absent
poli__aphid_garlic,poli_garlic,18,barley,52,57,0.045,present,0.3,barley intercropped,absent
poli__aphid_garlic,poli_garlic,18,wheat,53,5,0.032,present,0.3,barley intercropped,absent
poli__aphid_garlic,poli_garlic,18,rye,54,20,0.02,present,0.3,barley intercropped,absent
poli__aphid_garlic,poli_garlic,19,barley,55,12,0.035,present,0.47,barley intercropped,absent
