N,Treatment_,Diversity,Treatment,Treatment_1_,biocontr,Host_diversity,Pot,Plant,Plant_N,Aphid_Number,Aphid_Number_ln,Plant_weight,Aphid_load_ln,Aphid_load,Aphid_load_1,Aphid,Garlic,Predator,Garlic_weight,Garlic_weight_ln
46,barley_mono_aphid,mono,mono,m,0,1,1,barley,46,8,2.079441542,0.021,5.942674383,380.952381,3.81,1,0,0,0,0
47,barley_mono_aphid,mono,mono,m,0,1,1,barley,47,55,4.007333185,0.033,7.418580903,1666.666667,1666.67,1,0,0,0,0
48,barley_mono_aphid,mono,mono,m,0,1,1,barley,48,40,3.688879454,0.029,7.229338903,1379.310345,1379.31,1,0,0,0,0
49,barley_mono_aphid,mono,mono,m,0,1,2,barley,49,15,2.708050201,0.012,7.13089883,1250,1250.00,1,0,0,0,0
50,barley_mono_aphid,mono,mono,m,0,1,2,barley,50,12,2.48490665,0.017,6.559448585,705.8823529,705.88,1,0,0,0,0
51,barley_mono_aphid,mono,mono,m,0,1,2,barley,51,17,2.833213344,0.04,6.052089169,425,425.00,1,0,0,0,0
52,barley_mono_aphid,mono,mono,m,0,1,3,barley,52,38,3.63758616,0.026,7.287244901,1461.538462,1461.54,1,0,0,0,0
53,barley_mono_aphid,mono,mono,m,0,1,3,barley,53,24,3.17805383,0.046,6.257167713,521.7391304,521.74,1,0,0,0,0
54,barley_mono_aphid,mono,mono,m,0,1,3,barley,54,37,3.610917913,0.06,6.424328629,616.6666667,616.67,1,0,0,0,0
55,barley_mono_aphid,mono,mono,m,0,1,4,barley,55,1,0.1,0.024,3.729701449,41.66666667,41.67,1,0,0,0,0
56,barley_mono_aphid,mono,mono,m,0,1,4,barley,56,42,3.737669618,0.042,6.907755279,1000,1000.00,1,0,0,0,0
57,barley_mono_aphid,mono,mono,m,0,1,4,barley,57,16,2.772588722,0.03,6.279146619,533.3333333,533.33,1,0,0,0,0
58,barley_mono_aphid,mono,mono,m,0,1,5,barley,58,27,3.295836866,0.033,6.707084584,818.1818182,818.18,1,0,0,0,0
59,barley_mono_aphid,mono,mono,m,0,1,5,barley,59,19,2.944438979,0.029,6.484898428,655.1724138,655.17,1,0,0,0,0
60,barley_mono_aphid,mono,mono,m,0,1,5,barley,60,21,3.044522438,0.03,6.551080335,700,700.00,1,0,0,0,0
61,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,6,barley,61,28,3.33220451,0.033,6.743452228,848.4848485,848.48,1,1,0,0.14,-1.966112856
62,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,6,barley,62,48,3.871201011,0.042,7.041286672,1142.857143,1142.86,1,1,0,0.14,-1.966112856
63,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,6,barley,63,23,3.135494216,0.036,6.459730556,638.8888889,638.89,1,1,0,0.14,-1.966112856
64,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,7,barley,64,6,1.791759469,0.004,7.313220387,1500,1500.00,1,1,0,0.336,-1.090644119
65,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,7,barley,65,52,3.951243719,0.037,7.248081085,1405.405405,1405.41,1,1,0,0.336,-1.090644119
66,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,7,barley,66,25,3.218875825,0.037,6.515713191,675.6756757,675.68,1,1,0,0.336,-1.090644119
67,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,8,barley,67,31,3.433987204,0.028,7.009537973,1107.142857,1107.14,1,1,0,0.793,-0.231932057
68,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,8,barley,68,14,2.63905733,0.034,6.020452084,411.7647059,411.76,1,1,0,0.793,-0.231932057
69,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,8,barley,69,34,3.526360525,0.035,6.878767742,971.4285714,971.43,1,1,0,0.793,-0.231932057
70,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,9,barley,70,11,2.397895273,0.051,5.373824919,215.6862745,215.69,1,1,0,0.872,-0.136965855
71,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,9,barley,71,6,1.791759469,0.03,5.298317367,200,200.00,1,1,0,0.872,-0.136965855
72,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,9,barley,72,7,1.945910149,0.035,5.298317367,200,200.00,1,1,0,0.872,-0.136965855
73,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,10,barley,73,16,2.772588722,0.032,6.214608098,500,500.00,1,1,0,0.559,-0.581605806
74,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,10,barley,74,2,0.693147181,0.027,4.305065593,74.07407407,74.07,1,1,0,0.559,-0.581605806
75,barley_mono_aphid_garlic,mono,mono_garlic,mg,1,1,10,barley,75,6,1.791759469,0.012,6.214608098,500,500.00,1,1,0,0.559,-0.581605806
76,poli__aphid,poli,poli,p,1,3,11,barley,76,7,1.945910149,0.03,5.452468046,233.3333333,233.33,1,0,0,0,0
77,poli__aphid,poli,poli,p,1,3,11,wheat,77,35,3.555348061,0.033,6.966595779,1060.606061,1060.61,1,0,0,0,0
